feature,pred_0,pred_1
FSUNEARN,0.03,-0.03
FSNONCIT,0.01,-0.01
REALPROP,0.0,0.0
FSTOTDED,-0.04,0.04
HWGT,0.05,-0.05
FSERNDE2,-0.0,0.0
FSGA,0.0,-0.0
FSNETINC,-0.01,0.01
FSSLTDE2,0.01,-0.01
FSASSET,-0.02,0.02
TPOV,0.01,-0.01
FSTANF,0.02,-0.02
FSSLTDED,0.1,-0.1
FSERNDED,-0.01,0.01
LIQRESOR,-0.02,0.02
CERTHHSZ,0.05,-0.05
TANF_IND,0.03,-0.03
FSDIS,0.0,-0.0
FSTOTDE2,-0.01,0.01
WRK_POOR,-0.01,0.01
FSGRINC,-0.01,0.01
FSSSI,0.01,-0.01
FSWAGES,-0.01,0.01
FSUSIZE,0.01,-0.01
FSNELDER,0.0,-0.0
RAWNET,-0.0,0.0
FSSTDDE2,0.03,-0.03
RAWERND,-0.02,0.02
FSEARN,-0.02,0.02
SHELDED,0.13,-0.13
FSVEHAST,0.0,0.0
VEHICLEA,-0.0,0.0
