state,SHELDED,FSSLTDED,HWGT,CERTHHSZ,FSTOTDED,FSUNEARN,FSSTDDE2,TANF_IND,FSEARN,FSTANF,RAWERND,LIQRESOR,FSASSET,FSSLTDE2,WRK_POOR
Connecticut,584,584,3575,1,744,920,240,0,0,0,0,0,0,584,0
Connecticut,968,969,3704,1,1171,1197,240,0,212,0,42,0,0,969,1
Connecticut,969,969,3521,1,1129,1278,240,0,0,0,0,0,0,969,0
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,802,802,3527,1,962,1113,240,0,0,0,0,0,0,802,0
Connecticut,728,546,4416,1,1049,0,240,0,1716,0,343,0,0,546,1
Connecticut,535,535,2763,3,2299,860,24,0,1303,0,261,0,0,399,1
Connecticut,576,576,3778,1,736,1011,240,0,0,0,0,0,0,576,0
Connecticut,1054,1054,3216,1,1214,909,0,0,0,0,0,0,0,749,0
Connecticut,0,0,2763,3,160,26,26,0,0,0,0,0,0,0,0
Connecticut,966,966,3541,1,1172,1331,240,0,0,0,0,0,0,966,0
Connecticut,696,696,4022,1,856,1250,240,0,0,0,0,0,0,696,0
Connecticut,535,535,2962,2,695,515,44,0,0,0,0,0,0,355,0
Connecticut,535,535,3466,1,899,0,160,0,1022,0,204,0,0,535,1
Connecticut,535,535,2962,2,695,200,0,0,0,0,0,0,0,40,0
Connecticut,517,535,3216,1,695,650,115,0,0,0,0,0,0,490,0
Connecticut,1341,1341,3216,1,1501,1245,0,0,0,0,0,0,0,1085,0
Connecticut,535,535,4294,6,843,1332,266,0,400,0,80,0,0,535,1
Connecticut,335,335,3770,4,765,0,255,0,1303,0,261,0,0,335,1
Connecticut,535,535,4589,2,1068,0,160,0,1867,0,374,0,0,535,1
Connecticut,0,0,4389,1,160,735,160,0,0,0,0,0,0,0,0
Connecticut,535,535,3805,1,940,0,160,0,1229,0,246,0,0,535,1
Connecticut,535,535,3216,1,808,0,0,0,568,0,114,0,0,295,1
Connecticut,831,831,3216,1,991,754,3,0,0,0,0,0,0,594,0
Connecticut,226,226,4280,1,386,909,240,0,0,0,0,0,0,226,0
Connecticut,561,561,3277,1,908,0,240,0,938,0,188,0,0,561,1
Connecticut,452,452,3312,3,612,879,240,1,0,487,0,0,0,452,0
Connecticut,1053,535,2962,2,728,219,0,0,168,0,34,0,0,194,1
Connecticut,535,535,4024,3,1023,0,160,0,1641,0,328,0,0,535,1
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,2962,2,695,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,2763,3,695,647,112,1,0,597,0,0,0,487,0
Connecticut,945,945,3216,1,1105,826,0,0,0,0,0,0,0,666,0
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,2672,4,170,0,0,0,0,0,0,0,0,0,0
Connecticut,321,321,4252,4,491,1267,255,0,0,0,0,0,0,321,0
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,741,741,3216,1,901,735,74,0,0,0,0,0,0,575,0
Connecticut,535,535,2672,4,705,0,0,0,0,0,0,0,0,0,0
Connecticut,535,535,3698,3,1456,0,160,0,1915,0,383,0,0,535,1
Connecticut,648,648,3216,1,808,755,187,0,0,0,0,0,0,595,0
Connecticut,535,535,2763,3,695,533,68,0,0,0,0,0,0,373,0
Connecticut,535,535,4295,3,861,782,160,0,831,0,166,0,0,535,1
Connecticut,596,596,3887,1,756,1085,240,0,0,0,0,0,0,596,0
Connecticut,535,535,2672,4,705,0,0,0,0,0,0,0,0,0,0
Connecticut,572,571,3270,1,731,756,240,0,0,0,0,0,0,571,0
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,491,491,4416,1,651,1260,240,0,0,0,0,0,0,491,0
Connecticut,573,573,5247,2,733,2370,240,0,0,0,0,0,0,573,0
Connecticut,535,535,3216,1,799,0,0,0,521,0,104,0,0,257,1
Connecticut,535,535,3216,1,867,0,153,0,860,0,172,0,0,528,1
Connecticut,781,781,5125,2,941,2004,240,0,0,0,0,0,0,781,0
Connecticut,388,388,4621,3,1287,0,240,0,2198,0,440,0,0,388,1
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,587,587,3256,1,747,765,240,0,0,0,0,0,0,587,0
Connecticut,630,630,3216,1,790,735,185,0,0,0,0,0,0,575,0
Connecticut,570,570,3216,1,730,676,186,0,0,0,0,0,0,516,0
Connecticut,602,516,4366,2,676,1364,240,0,0,0,0,0,0,516,0
Connecticut,539,539,4416,1,1095,103,240,0,1982,0,396,0,0,539,1
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
Connecticut,675,675,3216,1,835,717,122,0,0,0,0,0,0,557,0
Connecticut,0,0,3216,1,160,0,0,0,0,0,0,0,0,0,0
