state,SHELDED,FSSLTDED,HWGT,CERTHHSZ,FSTOTDED,FSUNEARN,FSSTDDE2,TANF_IND,FSEARN,FSTANF,RAWERND,LIQRESOR,FSASSET,FSSLTDE2,WRK_POOR
Alabama,224,211,3826,2,477,463,169,0,351,3,70,0,0,175,0
Alaska,252,255,834,2,637,537,222,0,444,55,88,154,154,165,0
Arizona,194,194,5353,2,471,362,140,0,456,3,91,0,0,155,0
Arkansas,129,132,1807,2,377,498,162,0,305,1,61,92,115,111,0
California,314,330,29938,2,592,333,125,0,439,98,88,0,0,234,0
Colorado,341,340,3335,2,592,474,152,0,345,27,69,0,0,259,0
Connecticut,510,500,3138,1,737,581,128,0,282,27,56,0,0,387,0
Delaware,222,237,1218,2,513,494,157,0,446,11,88,0,0,196,0
District of Columbia,235,260,865,1,470,436,129,0,203,63,40,0,0,134,0
Florida,309,311,19742,1,572,499,165,0,391,5,78,0,0,272,0
Georgia,223,225,8391,2,481,461,146,0,310,1,62,0,0,182,0
Guam,245,80,429,3,600,172,257,0,774,8,154,0,0,48,0
Hawaii,115,120,1546,1,434,546,222,0,346,30,69,0,0,103,0
Idaho,330,227,842,2,514,476,171,0,431,3,86,42,63,177,0
Illinois,247,257,13933,1,518,428,139,0,356,5,71,0,0,215,0
Indiana,246,258,3627,2,520,485,170,0,377,1,75,32,32,211,0
Iowa,222,223,2131,2,510,482,163,0,480,14,96,1,1,170,0
Kansas,263,276,1307,2,551,485,174,0,388,8,77,147,152,217,0
Kentucky,156,163,3318,2,399,474,154,0,281,10,56,0,0,132,0
Louisiana,208,213,6281,2,449,430,153,0,259,1,51,82,82,174,0
Maine,415,416,1119,1,655,703,184,0,325,26,65,217,261,376,0
Maryland,261,259,5320,1,554,507,152,0,382,28,76,0,0,215,0
Massachusetts,473,457,5550,1,719,633,140,0,261,29,52,0,0,366,0
Michigan,358,365,9548,1,639,513,144,0,373,6,74,28,28,274,0
Minnesota,302,308,2545,1,583,580,166,0,425,0,86,0,0,246,0
Mississippi,161,162,2780,2,414,428,148,0,317,3,63,0,0,132,0
Missouri,250,259,4369,2,525,501,160,0,294,5,58,128,129,203,0
Montana,308,319,904,2,595,480,161,0,448,37,89,0,0,259,0
Nebraska,286,289,1040,2,569,494,163,0,439,19,88,63,64,217,0
Nevada,183,194,2964,1,454,388,141,0,398,12,79,0,0,152,0
New Hampshire,382,383,823,1,632,707,167,0,320,42,64,130,134,326,0
New Jersey,381,380,6210,1,649,595,169,0,408,6,80,0,0,321,0
New Mexico,199,200,2689,2,457,395,152,0,389,17,78,0,0,160,0
New York,514,505,20324,1,770,639,147,0,342,32,68,0,0,391,0
North Carolina,251,259,7051,2,548,437,154,0,485,3,97,0,0,208,0
North Dakota,335,343,641,2,646,496,150,0,375,14,75,0,0,271,0
Ohio,301,306,8730,1,554,564,164,0,342,13,68,0,0,254,0
Oklahoma,188,192,3068,2,441,398,150,0,334,3,67,0,0,147,0
Oregon,304,304,4860,1,561,488,145,0,315,20,63,0,0,244,0
Pennsylvania,415,413,14056,1,672,566,155,0,373,12,74,0,0,327,0
Rhode Island,464,452,1546,1,697,609,152,0,280,22,56,0,0,356,0
South Carolina,186,189,3592,2,455,471,152,0,320,7,63,0,0,152,0
South Dakota,347,348,676,2,623,445,132,0,365,30,72,253,286,261,0
Tennessee,158,160,5409,1,391,431,146,0,243,5,48,137,137,142,0
Texas,250,250,22052,2,540,435,170,0,470,3,94,0,0,208,0
Utah,234,244,1031,2,528,428,159,0,473,14,94,212,214,198,0
Vermont,650,648,717,1,918,749,145,0,293,37,58,0,0,504,0
Virgin Islands,60,68,702,2,341,271,126,0,402,6,79,0,0,47,0
Virginia,191,195,5276,2,448,524,169,0,291,14,58,161,161,164,0
Washington,306,304,7074,1,562,457,139,0,364,18,73,0,0,230,0
West Virginia,231,220,2279,1,448,529,155,0,271,3,54,0,0,162,0
Wisconsin,275,281,4038,2,571,558,165,0,458,10,91,0,0,230,0
Wyoming,254,254,497,2,557,460,165,0,430,2,86,168,187,192,0
