FSSLTDE2,FSSTDDE2,FSERNDED,RAWNET,FSASSET,TANF_IND,RAWERND,REALPROP,FSOTHUN,FSNONCIT,CERTHHSZ,FSSLTDED,FSTANF,FSTOTDED,FSNK0T4,FSCSEXP,FSNETINC,FSWAGES,FSERNDE2,TPOV,FSNELDER,WRK_POOR,FSUNEARN,FSUSIZE,FSDIS,FSGA,SHELDED,FSSSI,FSEARN,LIQRESOR,CAT_ELIG,VEHICLEA,FSVEHAST
171.0,201.0,0.0,607.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,171.0,310.0,305.0,1.0,0.0,608.0,0.0,0.0,66.0,0.0,0.0,913.0,3.0,1.0,0.0,172.0,603.0,0.0,0.0,1.0,1.0,0.0
76.0,262.0,295.0,737.0,0.0,0.0,295.0,0.0,0.0,0.0,6.0,76.0,0.0,740.0,1.0,183.0,737.0,1477.0,371.0,66.0,0.0,1.0,0.0,6.0,0.0,0.0,76.0,0.0,1477.0,0.0,2.0,1.0,0.0
417.0,134.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,417.0,389.0,551.0,1.0,0.0,18.0,0.0,0.0,41.0,0.0,0.0,569.0,3.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,1.0,0.0
40.0,179.0,373.0,1314.0,14.0,0.0,373.0,0.0,0.0,0.0,4.0,40.0,0.0,552.0,2.0,0.0,1314.0,1866.0,413.0,112.0,0.0,1.0,0.0,4.0,0.0,0.0,40.0,0.0,1866.0,14.0,2.0,1.0,0.0
322.0,201.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322.0,0.0,456.0,0.0,0.0,147.0,0.0,0.0,74.0,1.0,0.0,603.0,1.0,0.0,0.0,323.0,603.0,0.0,0.0,1.0,1.0,0.0
213.0,5.0,25.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,2.0,409.0,243.0,568.0,1.0,0.0,0.0,129.0,0.0,34.0,0.0,1.0,243.0,2.0,0.0,0.0,410.0,0.0,129.0,0.0,1.0,1.0,0.0
78.0,201.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.0,0.0,212.0,0.0,0.0,411.0,0.0,0.0,76.0,0.0,0.0,623.0,1.0,1.0,0.0,79.0,165.0,0.0,0.0,1.0,1.0,0.0
169.0,243.0,246.0,656.0,0.0,0.0,247.0,0.0,0.0,0.0,5.0,169.0,0.0,577.0,2.0,0.0,657.0,1234.0,369.0,63.0,0.0,1.0,0.0,5.0,0.0,0.0,169.0,0.0,1234.0,0.0,2.0,1.0,0.0
265.0,201.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,265.0,0.0,399.0,0.0,0.0,204.0,0.0,0.0,74.0,0.0,0.0,603.0,1.0,1.0,0.0,266.0,603.0,0.0,0.0,1.0,1.0,0.0
161.0,0.0,73.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,3.0,417.0,0.0,624.0,0.0,0.0,0.0,368.0,0.0,27.0,0.0,1.0,0.0,3.0,0.0,0.0,400.0,0.0,368.0,0.0,2.0,1.0,0.0
